audio_name,mean_rms,std_rms,mean_zcr,std_zcr,mean_spectral_centroid,std_spectral_centroid,mean_spectral_bandwidth,std_spectral_bandwidth,mean_spectral_flatness,std_spectral_flatness,mean_spectral_rolloff,std_spectral_rolloff,class
209.wav,0.02073433,0.0017404064,0.15790167805466238,0.15790167805466238,2364.2743471275635,2364.2743471275635,105.2098270766556,105.2098270766556,0.032339256,0.032339256,4050.319345357717,4050.319345357717,yes
343.wav,0.069798425,0.008008333,0.15434083601286175,0.15434083601286175,2569.221712190293,2569.221712190293,135.03332736151336,135.03332736151336,0.056033444,0.056033444,5172.123065715434,5172.123065715434,yes
423.wav,0.06920885,0.024446324,0.13204004220257234,0.13204004220257234,2301.093772495012,2301.093772495012,155.01673214915738,155.01673214915738,0.032673843,0.032673843,4194.889532254823,4194.889532254823,yes
786.wav,0.013224409,0.0033316752,0.13892308078778134,0.13892308078778134,2210.24742329904,2210.24742329904,129.59953645418125,129.59953645418125,0.032598536,0.032598536,3862.5442750200964,3862.5442750200964,yes
76.wav,0.07501819,0.01639491,0.09437801446945338,0.09437801446945338,1816.3691168453815,1816.3691168453815,342.7277232829027,342.7277232829027,0.021576157,0.021576157,3556.094252411576,3556.094252411576,yes
993.wav,0.015982112,0.013062504,0.15503165192926044,0.15503165192926044,2458.8000654871357,2458.8000654871357,878.7248265705351,878.7248265705351,0.2459481,0.2459481,4587.7493217443725,4587.7493217443725,yes
773.wav,0.028907623,0.004508205,0.14886454983922828,0.14886454983922828,2338.968335127222,2338.968335127222,167.73195447903507,167.73195447903507,0.033153582,0.033153582,4012.3765951567525,4012.3765951567525,yes
671.wav,0.034164317,0.0068570487,0.09130702371382636,0.09130702371382636,1684.2724257383938,1684.2724257383938,243.06239012684938,243.06239012684938,0.008291967,0.008291967,2756.1115228094855,2756.1115228094855,yes
539.wav,0.10365946,0.01480272,0.14011002813504822,0.14011002813504822,1984.0794320469236,1984.0794320469236,80.71847037881999,80.71847037881999,0.0085081095,0.0085081095,3151.0484701567525,3151.0484701567525,yes
571.wav,0.0631388,0.009861744,0.13857139268488747,0.13857139268488747,1897.8482453132294,1897.8482453132294,86.70226885810645,86.70226885810645,0.0075998376,0.0075998376,3001.4931044011255,3001.4931044011255,yes
475.wav,0.019534662,0.0018842273,0.16077798432475884,0.16077798432475884,2510.3368453254766,2510.3368453254766,96.48644077938985,96.48644077938985,0.041861642,0.041861642,4579.30221312299,4579.30221312299,yes
565.wav,0.09078757,0.010550989,0.14253416398713825,0.14253416398713825,1930.6567114316904,1930.6567114316904,80.04673828684221,80.04673828684221,0.007135763,0.007135763,2971.58203125,2971.58203125,yes
957.wav,0.04524656,0.0048470516,0.17498995176848875,0.17498995176848875,2717.990847296809,2717.990847296809,109.63559215294137,109.63559215294137,0.06508635,0.06508635,5182.093423432476,5182.093423432476,yes
165.wav,0.11278608,0.014123161,0.2410884746784566,0.2410884746784566,3569.415210255468,3569.415210255468,120.5525477447812,120.5525477447812,0.15556572,0.15556572,7304.394845257235,7304.394845257235,yes
